,date,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
366,2024-02-21,Fair,75,79.0,65,0.1176470588235294
367,2024-02-20,Good,82,116.0,65,0.0866873065015479
368,2024-02-19,Fair,70,63.0,64,0.1090047393364928
369,2024-02-17,Good,85,79.0,64,0.114963503649635
370,2024-02-16,Fair,78,63.0,64,0.105369807497467
371,2024-02-15,Fair,74,77.0,64,0.0972222222222222
372,2024-02-14,Good,83,65.0,64,0.0684261974584555
373,2024-02-13,Fair,73,58.0,66,0.070110701107011
374,2024-02-12,Fair,71,57.0,65,0.1541710665258711
375,2024-02-11,Good,82,75.0,65,0.1278962001853568
376,2024-02-09,Fair,71,79.0,66,0.103280680437424
377,2024-02-08,Fair,71,60.0,68,0.091995221027479
378,2024-02-06,Fair,71,63.0,69,0.1021566401816118
379,2024-02-05,Fair,73,70.0,69,0.1195097037793667
380,2024-02-03,Fair,67,51.0,69,0.0806642941874258
381,2024-02-01,Fair,78,32.0,67,0.0926935659760087
382,2024-01-31,Good,81,105.0,65,0.1055900621118012
383,2024-01-30,Fair,68,30.0,66,0.0598705501618122
384,2024-01-29,Fair,68,70.0,64,0.204840613931523
385,2024-01-28,Poor,59,57.0,65,0.1299638989169675
386,2024-01-27,Good,89,79.0,65,0.0790960451977401
387,2024-01-26,Fair,70,77.0,65,0.0859630032644178
388,2024-01-25,Fair,76,64.0,64,0.122754491017964
389,2024-01-24,Fair,79,89.0,63,0.0940409683426443
390,2024-01-23,Fair,77,67.0,64,0.1092198581560283
391,2024-01-22,Good,80,121.0,62,0.1123370110330993
392,2024-01-21,Fair,76,93.0,62,0.1052631578947368
393,2024-01-20,Good,81,103.0,63,0.1120507399577167
394,2024-01-19,Fair,76,78.0,62,0.137104506232023
395,2024-01-18,Fair,67,77.0,60,0.1611001964636542
396,2024-01-17,Fair,79,105.0,58,0.1152115211521152
397,2024-01-16,Fair,74,46.0,57,0.0846432889963724
398,2024-01-15,Fair,64,54.0,56,0.2206969376979936
399,2024-01-14,Fair,72,67.0,55,0.0671378091872791
400,2024-01-13,Fair,77,90.0,56,0.1199186991869918
401,2024-01-12,Good,80,108.0,57,0.0977130977130977
402,2024-01-11,Fair,77,44.0,58,0.119047619047619
403,2024-01-10,Good,80,94.0,57,0.0910994764397905
404,2024-01-09,Good,81,64.0,56,0.1373737373737373
405,2024-01-07,Fair,75,87.0,58,0.1079136690647482
406,2024-01-06,Good,88,93.0,59,0.1067157313707451
407,2024-01-05,Fair,75,122.0,58,0.1520361990950226
408,2024-01-04,Good,84,128.0,56,0.1070472792149866
409,2024-01-03,Fair,74,54.0,58,0.1456736035049288
410,2024-01-02,Fair,77,83.0,58,0.1629001883239171
411,2024-01-01,Fair,78,87.0,58,0.0952380952380952
412,2023-12-31,Good,83,62.0,58,0.0727816550348953
413,2023-12-29,Good,84,104.0,57,0.0897544453852667
414,2023-12-28,Fair,76,105.0,56,0.1219081272084805
415,2023-12-22,Fair,75,64.0,56,0.1572617946345976
416,2023-12-21,Good,83,79.0,55,0.0959132610508757
417,2023-12-20,Good,87,85.0,54,0.1069124423963133
418,2023-12-19,Fair,76,52.0,54,0.1188986232790988
419,2023-12-18,Fair,79,61.0,55,0.0972354623450905
420,2023-12-17,Good,80,96.0,57,0.1276794035414725
421,2023-12-16,Good,84,84.0,60,0.0880609652836579
422,2023-12-14,Fair,75,88.0,59,0.1035447761194029
423,2023-12-13,Fair,73,69.0,59,0.146067415730337
424,2023-12-12,Fair,77,103.0,59,0.1096605744125326
